City_Index,Petrol_tax_cents_per_gallon,Average_income_dollars,Paved_Highways_miles,Prop_pop_drivers_licenses,Consum_mill_gallons
1,7.918,3571,1976,0.551,541
2,7.952,4092,1250,0.534,524
3,7.878,3865,1586,0.563,561
4,6.672,4870,2351,0.415,414
5,7.18,4399,431,0.416,410
6,9.086,5342,1333,0.465,457
7,8.312,5319,11868,0.352,344
8,7.066,5126,2138,0.47,467
9,7.072,4447,8577,0.472,464
10,8.004,4512,8507,0.503,498
11,6.84,4391,5939,0.587,580
12,6.558,5126,14186,0.478,471
13,4.95,4817,6930,0.528,525
14,5.984,4207,6580,0.512,508
15,5.868,4332,8159,0.575,566
16,3.73,4318,10340,0.639,635
17,5.794,4206,8508,0.61,603
18,2.572,3718,4725,0.714,714
19,3.27,4716,5915,0.873,865
20,7.22,4341,6010,0.646,640
21,5.702,4593,7834,0.657,649
22,6.92,4983,602,0.543,540
23,8.072,4897,2449,0.47,464
24,7.906,4258,4686,0.552,547
25,7.58,4574,2619,0.461,460
26,7.868,3721,4746,0.576,566
27,6.846,3448,5399,0.58,577
28,6.238,3846,9061,0.818,631
29,6.852,4188,5975,0.769,574
30,7.932,3601,4650,0.742,534
31,5.858,3640,6905,0.721,571
32,5.892,3333,6594,0.783,554
33,6.846,3063,6524,0.75,577
34,6.244,3357,4121,0.658,628
35,7.026,3528,3495,0.532,487
36,5.292,3802,7834,0.789,644
37,3.72,4045,17782,0.795,640
38,5.592,3897,6385,0.906,704
39,7.204,3635,3274,0.674,648
40,3.064,4345,3905,0.93,968
41,7.326,4449,4639,0.72,587
42,5.602,3656,3985,0.861,699
43,5.736,4300,3635,0.714,632
44,5.818,3745,2611,0.767,591
45,4.436,5215,2302,0.917,782
46,7.98,4476,3942,0.514,510
47,5.78,4296,4083,0.636,610
48,5.952,5002,9794,0.609,524
